=== 2026-01-21T08:46:16 doc_id=489 page=7 phase=pass1 steps=822 min_openxml_idx=429 pdf_units=195 openxml_units=969 ===
[0] Block0 Char="μ" PDF[0] -> U0(pdf_0) OX[4142] -> U415(93770) | SKIP cross_page_backward: openxml_idx=415 < min_from_prev_page=429
[1] Block1 Char="m" PDF[1] -> U0(pdf_0) OX[4642] -> U430(93785) | MATCH new_assignment cnt:1
[2] Block1 Char="d" PDF[2] -> U0(pdf_0) OX[4643] -> U430(93785) | MATCH continue_existing_assignment cnt:2
[3] Block1 Char="(" PDF[3] -> U1(pdf_1) OX[4644] -> U430(93785) | MATCH new_assignment cnt:1
[4] Block1 Char="1" PDF[4] -> U1(pdf_1) OX[4645] -> U430(93785) | MATCH continue_existing_assignment cnt:2
[5] Block1 Char="." PDF[5] -> U1(pdf_1) OX[4646] -> U430(93785) | MATCH continue_existing_assignment cnt:3
[6] Block1 Char="3" PDF[6] -> U1(pdf_1) OX[4647] -> U430(93785) | MATCH continue_existing_assignment cnt:4
[7] Block1 Char="8" PDF[7] -> U1(pdf_1) OX[4648] -> U430(93785) | MATCH continue_existing_assignment cnt:5
[8] Block1 Char="," PDF[8] -> U1(pdf_1) OX[4649] -> U430(93785) | MATCH continue_existing_assignment cnt:6
[9] Block1 Char="0" PDF[9] -> U1(pdf_1) OX[4650] -> U430(93785) | MATCH continue_existing_assignment cnt:7
[10] Block1 Char="." PDF[10] -> U1(pdf_1) OX[4651] -> U430(93785) | MATCH continue_existing_assignment cnt:8
[11] Block1 Char="3" PDF[11] -> U1(pdf_1) OX[4652] -> U430(93785) | MATCH continue_existing_assignment cnt:9
[12] Block1 Char="," PDF[12] -> U1(pdf_1) OX[4653] -> U430(93785) | MATCH continue_existing_assignment cnt:10
[13] Block1 Char="0" PDF[13] -> U1(pdf_1) OX[4654] -> U430(93785) | MATCH continue_existing_assignment cnt:11
[14] Block1 Char="." PDF[14] -> U1(pdf_1) OX[4655] -> U430(93785) | MATCH continue_existing_assignment cnt:12
[15] Block1 Char="8" PDF[15] -> U1(pdf_1) OX[4656] -> U430(93785) | MATCH continue_existing_assignment cnt:13
[16] Block1 Char="2" PDF[16] -> U1(pdf_1) OX[4657] -> U430(93785) | MATCH continue_existing_assignment cnt:14
[17] Block1 Char=")" PDF[17] -> U1(pdf_1) OX[4658] -> U430(93785) | MATCH continue_existing_assignment cnt:15
[18] Block1 Char="=" PDF[18] -> U2(pdf_2) OX[4659] -> U430(93785) | MATCH new_assignment cnt:1
