=== 2026-01-31T05:18:32 doc_id=552 page=5 phase=pass1 steps=1404 min_openxml_idx=50 pdf_units=175 openxml_units=62 ===
[0] Block0 Char="1" PDF[0] -> U0(pdf_1) OX[387] -> U6(108240) | SKIP cross_page_backward: openxml_idx=6 < min_from_prev_page=50
[1] Block1 Char="." PDF[1] -> U0(pdf_1) OX[5946] -> U51(108285) | MATCH new_assignment cnt:1
[2] Block1 Char="i" PDF[2] -> U1(pdf_2) OX[5947] -> U51(108285) | MATCH new_assignment cnt:1
[3] Block1 Char="n" PDF[3] -> U1(pdf_2) OX[5948] -> U51(108285) | MATCH continue_existing_assignment cnt:2
[4] Block1 Char="s" PDF[4] -> U1(pdf_2) OX[5949] -> U51(108285) | MATCH continue_existing_assignment cnt:3
[5] Block1 Char="t" PDF[5] -> U1(pdf_2) OX[5950] -> U51(108285) | MATCH continue_existing_assignment cnt:4
[6] Block1 Char="r" PDF[6] -> U1(pdf_2) OX[5951] -> U51(108285) | MATCH continue_existing_assignment cnt:5
[7] Block1 Char="u" PDF[7] -> U1(pdf_2) OX[5952] -> U51(108285) | MATCH continue_existing_assignment cnt:6
[8] Block1 Char="k" PDF[8] -> U1(pdf_2) OX[5953] -> U51(108285) | MATCH continue_existing_assignment cnt:7
[9] Block1 Char="s" PDF[9] -> U1(pdf_2) OX[5954] -> U51(108285) | MATCH continue_existing_assignment cnt:8
[10] Block1 Char="i" PDF[10] -> U1(pdf_2) OX[5955] -> U51(108285) | MATCH continue_existing_assignment cnt:9
[11] Block1 Char="," PDF[11] -> U1(pdf_2) OX[5956] -> U51(108285) | MATCH continue_existing_assignment cnt:10
[12] Block1 Char="y" PDF[12] -> U2(pdf_3) OX[5957] -> U51(108285) | MATCH new_assignment cnt:1
[13] Block1 Char="a" PDF[13] -> U2(pdf_3) OX[5958] -> U51(108285) | MATCH continue_existing_assignment cnt:2
[14] Block1 Char="i" PDF[14] -> U2(pdf_3) OX[5959] -> U51(108285) | MATCH continue_existing_assignment cnt:3
[15] Block1 Char="t" PDF[15] -> U2(pdf_3) OX[5960] -> U51(108285) | MATCH continue_existing_assignment cnt:4
[16] Block1 Char="u" PDF[16] -> U2(pdf_3) OX[5961] -> U51(108285) | MATCH continue_existing_assignment cnt:5
[17] Block1 Char="p" PDF[17] -> U3(pdf_4) OX[5962] -> U51(108285) | MATCH new_assignment cnt:1
[18] Block1 Char="e" PDF[18] -> U3(pdf_4) OX[5963] -> U51(108285) | MATCH continue_existing_assignment cnt:2
[19] Block1 Char="r" PDF[19] -> U3(pdf_4) OX[5964] -> U51(108285) | MATCH continue_existing_assignment cnt:3
[20] Block1 Char="i" PDF[20] -> U3(pdf_4) OX[5965] -> U51(108285) | MATCH continue_existing_assignment cnt:4
[21] Block1 Char="n" PDF[21] -> U3(pdf_4) OX[5966] -> U51(108285) | MATCH continue_existing_assignment cnt:5
[22] Block1 Char="t" PDF[22] -> U3(pdf_4) OX[5967] -> U51(108285) | MATCH continue_existing_assignment cnt:6
[23] Block1 Char="a" PDF[23] -> U3(pdf_4) OX[5968] -> U51(108285) | MATCH continue_existing_assignment cnt:7
